#	year	left	match	right	title	topic
910	2011	The Bears can control games by running the ball , augmenting Matt Forte 's efforts with a	low-risk	, keep-it-simple passing scheme that limits Hanie 's vulnerability to mistakes .	At Quarterback, the Non-Cutler, but Fear Not	Professional football; Athletes
911	2011	The American Cancer Society , the American College of Obstetricians and Gynecologists , and the United States Preventive Services Task Force agree that after 65 , there 's little additional benefit to routine annual screenings for	low-risk	women with a history of negative Pap smears and no history of cancer or precancerous lesions .	Postings Recent Entries From Our Blogs	Cervical cancer; Coffee; Small mammalsCompany / organization:
912	2011	They regard the Wiener schnitzel as too ordinary , the mundane	low-risk	equivalent of boneless chicken breasts .	Austrian Tradition, With Ambition	Restaurants; Bars; Cooking
913	2011	But companies like Kinder Morgan and its competitors think the need for new energy sources means pipelines are a relatively	low-risk	way to play the boom .	Kinder's Major Bet On a Boom In Drilling	Pipelines; Hydraulic fracturing; Investment policy; Natural gas utilities; Transportation services; Corporate profits
914	2011	The agency has also begun a test at some airports of exempting airline pilots , a	low-risk	group by definition , from going through security .	Clearing a Path at the Airport	Airline security; Airports; Communications systems; Security management; Information management; Customer services; Air travel; Studies
915	2011	We should bring	low-risk	populations into Medicare , merging it with Medicaid and making it open to all Americans .	How to Trim Spending on Medicare	None
916	2011	It was supposed to be	low-risk	; in the worst case , Manning said , it should have been an incompletion at Hakeem Nicks 's feet .	Manning Loses His Hot Hand, and Doesn't Have Much Time to Find It	Professional football; Athletes; Sports team rosters
917	2012	Mortgage lenders adjust their rates based on perceptions of risk , so unless you can show you 're a	low-risk	borrower , you are unlikely to qualify for a rate that matches those seen in all the advertisements or headlines .	Shopping for the Best Rates	Interest rates; Credit unions; Down payments; Mortgage companies; Mortgage rates
918	2012	The solution , Dr. Parker wrote , is to `` try to avoid not only treating but also diagnosing	low-risk	disease . ''	Drug Seen To Curtail Cancer Left In Prostate	Prostate cancer; Colleges  universities; Medical research; Cancer therapies
919	2012	And there is growing criticism that the Fed 's policies are unfairly taking money from savers , including many seniors who planned their retirements around the interest rates that	low-risk	assets like bank deposits used to pay .	Fed Vows to Keep Rates Near Zero Until Late 2014	Interest rates; Federal Reserve monetary policy; Federal funds rate; Economic forecasts
920	2012	Gladys Carrion , the commissioner of the Office of Children and Family Services , has closed more than a dozen facilities , while encouraging localities to treat	low-risk	offenders in community-based programs .	Better Care for Troubled Youth	Juvenile offenders; Editorials; Juvenile justice; Nonprofit organizations
921	2012	That said , the	low-risk	youths in state custody have a complex array of problems and a great need for counseling and psychiatric services .	Better Care for Troubled Youth	Juvenile offenders; Editorials; Juvenile justice; Nonprofit organizations
922	2012	Global Entry , a program that allows	low-risk	travelers entering the United States to bypass Customs agents and be screened at kiosks instead , will expand and become permanent .	Expedited Customs Program Will Expand	Customs regulations; Airports
923	2012	Acquired on the same July day as Albert Haynesworth -- another	low-risk	, high-reward talent sucked into Belichick 's vortex -LRB- but escaped , in a November trade to Tampa Bay -RRB- -- Ochocinco , in theory , presented Brady with a deep threat that the Patriots lacked .	Not Center of Attention And Not Complaining	Professional football; Athletes; Sports team rosters; Tournaments  championships
924	2012	Libya was a success -- and it was as	low-risk	as any United States military mission of the past 20 years .	Why We Shouldn't Attack Syria (Yet)	Intervention; Muslims; Massacres; Sanctions; Human rights; Genocide
925	2012	Rather than hewing to the old standard of intervening only after genocide has been proved , the emerging new standard would allow for meaningful and	low-risk	military action before the killing gets out of control .	Why We Shouldn't Attack Syria (Yet)	Intervention; Muslims; Massacres; Sanctions; Human rights; Genocide
926	2012	Democrats on the panel circulated a draft dissent , criticizing the report as failing `` to analyze in depth the strategic issues and concerns that resulted in each administration separately reaching the same conclusion : that it is in the strategic and national security interest of the United States to transfer	low-risk	detainees '' out of the prison as part of a process to close it eventually .	Republican Report Criticizes Transfers From Guantanamo	Prisoner transfers; National securityCompany / organization:
927	2012	They grabbed Lin as a	low-risk	, low-cost emergency player , to provide insurance behind Toney Douglas and Mike Bibby .	Lin's Success Surprising to Everyone	Professional basketball; Athletes
928	2012	`` We also know that individuals who are able to maintain	low-risk	or optimum-risk status throughout their childhood and throughout their young adulthood then get to a point where they 're very unlikely to have cardiovascular disease . ''	18 And Under: A Discussion on Screening Children for Cholesterol	Cholesterol; Medical screening; Pediatrics; Lipids; Statins; Children  youth; Obesity
929	2012	You really can , by having the right kind of lifestyle , create a	low-risk	situation for your child across the life span . ''	18 And Under: A Discussion on Screening Children for Cholesterol	Cholesterol; Medical screening; Pediatrics; Lipids; Statins; Children  youth; Obesity
930	2012	`` In the past , we felt once you 're in the hard-core category , you 're more	low-risk	for us .	Skiers 'Who Know Better' Increasingly Fall Victim to Avalanches	Avalanches; Skiing; Public safety; Ski resorts; Fatalities
931	2012	The other way is through the popular Global Entry program operated by the Customs and Border Protection agency , which provides expedited entry into the United States for international travelers who enroll and are designated as	low-risk	passengers after passing background checks .	For a 'Select' Few, Shoes Can Stay On	Airline security; Airports; Air travel; Risk assessment; Passenger screening
932	2012	In a letter to Mr. Pistole on Feb. 14 , Mr. Barclay said that `` community-based airport-centric enrollment options , '' run under T.S.A. supervision , would result in `` a significantly expanded number of	low-risk	passengers for eligibility '' in PreCheck .	For a 'Select' Few, Shoes Can Stay On	Airline security; Airports; Air travel; Risk assessment; Passenger screening
